Key,Roastery,"Roastery City","Roastery Country",Name,Country,Region,Farm,Processing,"Altitude min","Altitude max","Price (EUR per kg)",Roast,Score,Variety,Profile
32,80plus,Barcelona,Spain,Candy,"Costa Rica",Tarrazu,Cuzuco,Natural,1800,1800,64,filter,,caturra,"sweet apple, peach"
33,80plus,Barcelona,Spain,Popayán,Colombia,Cauca,Cofinet,Washed,1500,2070,44,filter,,"castillo, caturra, colombia, typica, catimor","milk chocolate, citrus fruit, caramel"
34,80plus,Barcelona,Spain,"Peach Microlot",Nicaragua,Jinotega,"La Bendición",Washed,1241,1241,64,filter,,"red catuai","peach, honey, apple"
35,"Al-Gharb Coffee Roasters",Albufeira,Portugal,"Fazenda Ouro Verde",Brazil,"Cerrado Mineiro",,Natural,925,925,42,filter,82,2sl,"milk chocolate"
36,"Al-Gharb Coffee Roasters",Albufeira,Portugal,"Fazenda Ouro Verde",Brazil,"Cerrado Mineiro",,Natural,925,925,42,espresso,82,2sl,"milk chocolate"
37,"Al-Gharb Coffee Roasters",Albufeira,Portugal,"Finca Libertad","Costa Rica","Trinidad de Moravia, Valle Central",,Washed,1000,1000,70,filter,90,"heirloom, san roque","chocolate, praline, vanilla"
38,"Al-Gharb Coffee Roasters",Albufeira,Portugal,Yirgacheffe,Ethiopia,Kochere,,Washed,1900,2000,60,filter,,heirloom,"white flower, jasmine, citrus fruit"
39,"Al-Gharb Coffee Roasters",Albufeira,Portugal,"Fábrica de Café Kegwa",Kenya,Kirinyaga,,Washed,1500,1500,62,filter,,"ruiru 11, sl28, sl34, batian","white flower, litchi, caramel, vanilla, berry"
40,"Al-Gharb Coffee Roasters",Albufeira,Portugal,"Finca San Francisco Cotzal",Guatemala,Quiche,,"Fully Washed",1400,1400,54,filter,,"bourbon, castillo, catuai, lempira, marsellesa","chocolate, dried fruit"
41,"Al-Gharb Coffee Roasters",Albufeira,Portugal,"Finca San Francisco Cotzal",Guatemala,Quiche,,"Fully Washed",1400,1400,54,espresso,,"bourbon, castillo, catuai, lempira, marsellesa","chocolate, dried fruit"
42,"Al-Gharb Coffee Roasters",Albufeira,Portugal,Lamari,"Papua New Guinea","Eastern Highlans",,Washed,1700,2000,54,filter,,"arusha , blue mountain, bourbon, typica","apple, brown spice, brown sugar, citrus fruit, hazelnut"
43,"Al-Gharb Coffee Roasters",Albufeira,Portugal,Lamari,"Papua New Guinea","Eastern Highlans",,Washed,1700,2000,54,espresso,,"arusha , blue mountain, bourbon, typica","apple, brown spice, brown sugar, citrus fruit, hazelnut"
44,"Animal Coffee Roasters",Barcelona,Spain,Kagumoini,Kenya,Nyeri,Kagumoini,"Washed with double fermentation",1868,1868,60.50,filter,87.3,"sl28, sl34, ruiru 11","rose, pineapple, fig, cloves, champagne"
45,"Animal Coffee Roasters",Barcelona,Spain,Mpanga,Burundi,Bujumbura,Mpanga,Natural,1800,1800,47.50,filter,85,"bourbon, castillo, catuai, lempira, marsellesa","blackberry, tropical fruit, melon, cocoa"
46,"Animal Coffee Roasters",Barcelona,Spain,,Mexico,Chiapas,"Domitilo Pérez y Lucila Santiz",Washed,1700,1700,45.25,filter,85,"bourbon, typica","cherry, orange, marzipan, praline"
47,"Animal Coffee Roasters",Barcelona,Spain,Mpanga,Burundi,Bujumbura,Mpanga,Natural,1800,1800,47.50,espresso,85,"bourbon, castillo, catuai, lempira, marsellesa","blackberry, tropical fruit, melon, cocoa"
