Roastery,Roastery City,Roastery Country,Name,Country,Region,Farm,Processing,Variety,Altitude min,Altitude max,Price (EUR per kg),Profile,Roast,Score
80plus,Barcelona,Spain,Candy,Costa Rica,Tarrazu,Cuzuco,Natural,Caturra,1800,1800,64,"Sweet apple, peach",filter,
80plus,Barcelona,Spain,Popayán,Colombia,Cauca,Cofinet,Washed,"Castillo, Caturra, Colombia, Typica, Catimor",1500,2070,44,"Milk chocolate, citrus, caramel",filter,
80plus,Barcelona,Spain,Peach Microlot,Nicaragua,Jinotega,La Bendición,Washed,Red Catuai,1241,1241,64,"Peach,honey, apple",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Fazenda Ouro Verde,Brazil,Cerrado Mineiro,,Natural,2SL,925,925,42,Classic Chocolate and Milk,filter,82
Al-Gharb Coffee Roasters,Albufeira,Portugal,Fazenda Ouro Verde,Brazil,Cerrado Mineiro,,Natural,2SL,925,925,42,Classic Chocolate and Milk,espresso,82
Al-Gharb Coffee Roasters,Albufeira,Portugal,Finca Libertad,Costa Rica,"Trinidad de Moravia, Valle Central",,Washed,"Etiopes, San Roque",1000,1000,70,"Chocolate, Praline, Vanilla",filter,90
Al-Gharb Coffee Roasters,Albufeira,Portugal,Yirgacheffe,Ethiopia,Kochere,,Washed,Heirloom,1900,2000,60,"White flower, jazmin, citrus",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Fábrica de Café Kegwa,Kenya,Kirinyaga,,Washed,"Ruiru 11, SL28, SL 34, Batian",1500,1500,62,"White flower, litchi, caramel, vanilla, berry",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Finca San Francisco Cotzal,Guatemala,Quiche,,Fully Washed,"Bourbon, Castillo, Catuai, Lempira, Marsellesa",1400,1400,54,"Chocolate, Dried Fruit",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Finca San Francisco Cotzal,Guatemala,Quiche,,Fully Washed,"Bourbon, Castillo, Catuai, Lempira, Marsellesa",1400,1400,54,"Chocolate, Dried Fruit",espresso,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Lamari,Papua New Guinea,Eastern Highlans,,Washed,"Arusha , Blue Mountain, Bourbon, Typica",1700,2000,54,"Apple, Brown Spice, Brown Sugar, Citrus fruit, Hazelnut",filter,
Al-Gharb Coffee Roasters,Albufeira,Portugal,Lamari,Papua New Guinea,Eastern Highlans,,Washed,"Arusha , Blue Mountain, Bourbon, Typica",1700,2000,54,"Apple, Brown Spice, Brown Sugar, Citrus fruit, Hazelnut",espresso,
Animal Coffee Roasters,Barcelona,Spain,Kagumoini,Kenya,Nyeri,Kagumoini,Washed with double fermentation,"SL28, SL34, Ruiru 11",1868,1868,60.50,"Roses, pineapple, figs, cloves, champagne",filter,87.3
Animal Coffee Roasters,Barcelona,Spain,Mpanga,Burundi,Bujumbura,Mpanga,Natural,"Bourbon, Castillo, Catuai, Lempira, Marsellesa",1800,1800,47.50,"Blackberries, tropical fruit, melon, cocoa",filter,85
Animal Coffee Roasters,Barcelona,Spain,,Mexico,Chiapas,Domitilo Pérez y Lucila Santiz,Washed,"Bourbon, Typica",1700,1700,45.25,"Cherry, orange, marcipan, pralines",filter,85
Animal Coffee Roasters,Barcelona,Spain,Mpanga,Burundi,Bujumbura,Mpanga,Natural,"Bourbon, Castillo, Catuai, Lempira, Marsellesa",1800,1800,47.50,"Blackberries, tropical fruit, melon, cocoa",espresso,85
Animal Coffee Roasters,Barcelona,Spain,,Mexico,Chiapas,Domitilo Pérez y Lucila Santiz,Washed,"Bourbon, Typica",1700,1700,45.25,"Cherry, orange, marcipan, pralines",espresso,85
Animal Coffee Roasters,Barcelona,Spain,,Peru,Valles de Esquilaya – Ayapata,Adán Rodrigo Quispe,Washed,Bourbon,1800,1800,44.95,"Lemon, pastry, dark chocolate, pear",filter,84.25
Animal Coffee Roasters,Barcelona,Spain,,Peru,Valles de Esquilaya – Ayapata,Adán Rodrigo Quispe,Washed,Bourbon,1800,1800,44.95,"Lemon, pastry, dark chocolate, pear",espresso,84.25
Animal Coffee Roasters,Barcelona,Spain,Naiane y Alexandre Mudrick,Brazil,Mantiqueira de Minas,Naiane Y Alexandre Mudrick,Natural,Mundo novo,1000,1000,37,"Orange, Cinnamon, Nutmeg",espresso,83.25
Animal Coffee Roasters,Barcelona,Spain,Caldas,Colombia,Caldas,pequeños productores asociados a la OPCE,Washed,"Caturra, Castillo",1500,1850,39.95,"Berries, stone fruits, brown sugar",espresso,83.75
April Coffee,København,Denmark,Meti,Ethiopia,Hambela,Bishan Fugu Alaka,Washed,Krume 74122,,,93.05,"Jasmine, Citrus, Nectarine",filter,
April Coffee,København,Denmark,El Socorro,Guatemala,Palencia,El Socorro,Washed,Geisha,,,187.85,"Nectarine Melon, Jasmine",filter,90.1
April Coffee,København,Denmark,El Socorro,Guatemala,Palencia,El Socorro,Washed,Pacamara,,,91.17,"Melon, herbs, nougat",filter,
April Coffee,København,Denmark,Kainamui,Kenya,Ngariama,Kainamui Factory,Washed,"SL28, SL34",1750,1750,87.68,"Red Apple, Jasmine, Gooseberries",filter,
April Coffee,København,Denmark,Zewde,Ethiopia,Guji Zone,Hambela,Natural,Krume 74142,1800,1800,93.05,"Tropical Fruit, Jasmine, Raspberry",filter,
April Coffee,København,Denmark,Volcàn Azul,Costa Rica,Alajuela,Volcan Azul,Yellow Honey,H1,,,107.28,"Stone fruit, florals, Nougat",filter,
April Coffee,København,Denmark,Volcàn Azul,Costa Rica,Alajuela,Volcan Azul,Washed,Catuaì,1170,1230,100.57,"Milk Chocolate, Stone Fruit",espresso,
April Coffee,København,Denmark,Kainamui,Kenya,Ngariama,Kainamui Factory,Washed,"SL28, SL34",1750,1750,87.68,"Gooseberry, Red Apple, Floral",espresso,
April Coffee,København,Denmark,Zewde,Ethiopia,Guji Zone,Hambela,Natural,Krume 74142,1800,1800,93.05,"Tropical Fruit, Jasmine, Raspberry",espresso,
April Coffee,København,Denmark,Meti,Ethiopia,Hambela,Bishan Fugu Alaka,Washed,Krume 74122,,,93.05,"Jasmine, Citrus, Nectarine",espresso,
April Coffee,København,Denmark,Volcàn Azul,Costa Rica,Alajuela,Volcan Azul,Yellow Honey,H1,,,107.28,"Stone fruit, florals, Nougat",espresso,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Keramo,Ethiopia,"Bensa Woreda, Sidama Zone",,Natural,Heirloom,2300,2300,41.66,"Blueberry, Peach, Floral, Milk Chocolate",filter,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Las Brisas,Colombia,"Acevedo Municipality, Department of Huila",Las Brisas,Natural Anaerobic Fermentation,Pacamara,1500,1500,48.42,"Tropical Fruit, Cranberries, Sugar Cane, Lemon",filter,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Las Brisas,Colombia,"Acevedo Municipality, Department of Huila",Las Brisas,Natural Anaerobic Fermentation,Pacamara,1500,1500,48.42,"Toffee, Maraschino Cherry, Berries",espresso,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,El Durazno,Honduras,"Masaguara, Department of Intibucá",El Durazno,Washed,"Bourbon, Catuaí",1700,1700,47.29,"Chocolate, Orange, Forest Fruit, Floral",filter,
Artisan Roast Coffee Roasters,Edinburgh,United Kingdom,Karindundu,Kenya,"Nyeri District, Central Province",,Fully Washed,"SL28, SL34, Batian",1600,1850,41.66,"Grapefruit, toffee, Blackcurrant, Vanilla",filter,
